Accession ID	Collection date	Submission date	Location
EPI_ISL_18059292	2018-05-12	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059293	2018-05-12	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059294	2018-05-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059295	2018-05-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059296	2018-05-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059297	2018-05-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059298	2018-05-11	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059299	2018-05-10	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059300	2018-05-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059301	2018-05-09	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059302	2018-05-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059303	2018-05-08	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059304	2018-05-05	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059305	2018-05-05	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059306	2018-05-04	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059307	2018-05-04	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059308	2018-05-02	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059309	2018-04-28	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059310	2018-04-27	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059311	2018-04-26	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059312	2018-04-24	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059313	2018-04-24	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059314	2018-03-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059315	2018-03-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059316	2018-03-16	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059317	2018-03-15	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059318	2018-03-15	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059319	2018-03-14	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059320	2018-03-13	2023-08-02	South America / Brazil / Amazonas
EPI_ISL_18059321	2018-03-13	2023-08-02	South America / Brazil / Amazonas
